외모개선 목적치료,"-
(약관 명시 없으나 상해치료목적 확인)","위생관리, 미모를 위한 
성형수술비 및 비만치료비","- 쌍꺼풀수술(이중검수술 - 단, 안검하수 및 안검내반 치료목적은 보상), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상)축소술, 지방흡입술, 주름살제거술 등
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료
- 성장촉진과 관련하여 소요된 비용","- 쌍꺼풀수술(이중검수술 - 단, 안검하수 및 안검내반 치료목적은 보상), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상)축소술, 지방흡입술, 주름살제거술 등
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료
- 성장촉진과 관련하여 소요된 비용","- 쌍꺼풀수술(이중검수술 - 단, 안검하수 및 안검내반 치료목적은 보상), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상)축소술, 지방흡입술, 주름살제거술 등
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료
- 성장촉진과 관련하여 소요된 비용","- 쌍꺼풀수술(이중검수술), 코성형수술(융비술), 유방확대(유방암 환자의 유방재건술은 보상),축소술, 지방흡입술, 주름살제거술 등 미용목적 성형수술과 그로 인한 후유증치료
- 사시교정, 안와격리증의 교정 등 시각계 수술로써 시력개선 목적 아닌 외모개선 목적 수술
- 그 외 외모개선 목적의 치료로 건강보험 비급여 대상에 해당하는 치료
- (비급여, 3대급여)질병이 아닌 단순 키 성장(성장촉진) 목적 진료
- 치과교정
- 씹는 기능 및 발음기능 개선 목적이 아닌 외모개선 목적의 턱얼굴(안면)교정술,
- 관절운동 제한이 없는 반흔구축성형술 등 외모개선 목적의 반흔제거술"
피보험자고의,"- 피보험자 고의, 자해, 자살, 자살미수
- 심신상실, 정신질환","- 피보험자 고의, 자해, 자살, 자살미수
- 심신상실, 정신질환 및 선천성 뇌질환","피보험자가 고의로 자신을 해친 경우(단, 심신상실 등으로 자유로운 의사결정 불가한 상태에서 자신을 해친 경우 보상)","피보험자가 고의로 자신을 해친 경우(단, 심신상실 등으로 자유로운 의사결정 불가한 상태에서 자신을 해친 경우 보상)","피보험자가 고의로 자신을 해친 경우(단, 심신상실 등으로 자유로운 의사결정 불가한 상태에서 자신을 해친 경우 보상)","피보험자가 고의로 자신을 해친 경우(단, 심신상실 등으로 자유로운 의사결정 불가한 상태에서 자신을 해친 경우 보상)"
행위면책,"1. 전문등반, 글라이더조정, 스카이다이빙, 스쿠버다이빙, 행글라이딩, 또는 이와 비슷한 위험한 활동
2. 모터보트, 자동차 또는 오토바이에 의한 경기, 시범, 흥행(연습포함) 또는 시운전(다만, 공용도로상 시운전 하는 동안 발생한 상해는 보상)
3. 선박승무원, 어부, 사공, 그 외 직무상 선박탑승","1. 전문등반, 글라이더조정, 스카이다이빙, 스쿠버다이빙, 행글라이딩, 또는 이와 비슷한 위험한 활동
2. 모터보트, 자동차 또는 오토바이에 의한 경기, 시범, 흥행(연습포함) 또는 시운전(다만, 공용도로상 시운전 하는 동안 발생한 상해는 보상)
3. 선박승무원, 어부, 사공, 그 외 직무상 선박탑승","1. 전문등반, 글라이더조종, 스카이다이빙, 스쿠버다이빙, 행글라이딩, 수상보트, 패러글라이딩
2. 모터보트, 자동차 또는 오토바이에 의한 경기, 시범, 행사(연습포함) 또는 시운전(다만, 공용도로에서 시운전 하는 동안 발생한 상해는 보상)
3. 선박승무원, 어부, 사공, 그외 직무상 선박탑승","1. 전문등반, 글라이더조종, 스카이다이빙, 스쿠버다이빙, 행글라이딩, 수상보트, 패러글라이딩
2. 모터보트, 자동차 또는 오토바이에 의한 경기, 시범, 행사(연습포함) 또는 시운전(다만, 공용도로에서 시운전 하는 동안 발생한 상해는 보상)
3. 선박승무원, 어부, 사공, 그외 직무상 선박탑승","1. 전문등반, 글라이더조종, 스카이다이빙, 스쿠버다이빙, 행글라이딩, 수상보트, 패러글라이딩
2. 모터보트, 자동차 또는 오토바이에 의한 경기, 시범, 행사(연습포함) 또는 시운전(다만, 공용도로에서 시운전 하는 동안 발생한 상해는 보상)
3. 선박승무원, 어부, 사공, 그외 직무상 선박탑승","1. 전문등반, 글라이더조종, 스카이다이빙, 스쿠버다이빙, 행글라이딩, 수상보트, 패러글라이딩
2. 모터보트, 자동차 또는 오토바이에 의한 경기, 시범, 행사(연습포함) 또는 시운전(다만, 공용도로에서 시운전 하는 동안 발생한 상해는 보상)
3. 선박승무원, 어부, 사공, 그외 직무상 선박탑승"
"범죄,폭력행위","- 형법상 범죄행위 또는 폭력행위
(단, 정당방위, 긴급피난, 정당행위 인정시 보상)","- 형법상 범죄행위 또는 폭력행위
(단, 정당방위, 긴급피난, 정당행위 인정시 보상)",(삭제),(삭제),(삭제),(삭제)
임신•출산,"- 임신,출산(제왕절개포함), 유산 또는 외과적 수술, 그 밖의 의료처치
(단, 회사가 보상하는 상해로 인한 경우 보상)","- 임신,출산(제왕절개포함), 유산 또는 외과적 수술, 그 밖의 의료처치
(단, 회사가 보상하는 상해로 인한 경우 보상)
- 불임시술, 인공유산","- 임신, 출산(제왕절개), 산후기, 인공유산(단, 회사가 보상하는 상해로 인한 경우 보상)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)","- 임신, 출산(제왕절개), 산후기, 인공유산(단, 회사가 보상하는 상해로 인한 경우 보상)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)","- 임신, 출산(제왕절개), 산후기, 인공유산(단, 회사가 보상하는 상해로 인한 경우 보상)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)","- 임신, 출산(제왕절개), 산후기, 인공유산(단, 회사가 보상하는 상해로 인한 경우 보상)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)"
전쟁,"- 전쟁, 외국의 무력행사, 혁명, 내란, 사변, 폭동, 소요, 기타 이들과 유사한 사태","- 전쟁, 외국의 무력행사, 혁명, 내란, 사변, 폭동, 소요, 기타 이들과 유사한 사태","- 전쟁, 외국의 무력행사, 혁명, 내란, 사변, 폭동","- 전쟁, 외국의 무력행사, 혁명, 내란, 사변, 폭동","- 전쟁, 외국의 무력행사, 혁명, 내란, 사변, 폭동","- 전쟁, 외국의 무력행사, 혁명, 내란, 사변, 폭동"
치과치료,보상가능,"의치비용, 치과보철비용
(단, 급여처리시 보상)","비급여 치과치료(단, 안면부 골절로 발생한 의료비는 치아치료 제외보상) (0908소급적용)","비급여 치과치료(단, 안면부 골절로 발생한 의료비는 치아치료 제외보상) (0908소급적용)","비급여 치과치료(단, 안면부 골절로 발생한 의료비는 치아치료 제외보상) (0908소급적용)","비급여 치과치료(단, 안면부 골절로 발생한 의료비는 치아치료 제외보상) (0908소급적용)"
한방치료,보상가능,"[입원]보상가능(한약재 보신용 투약비용 면책)
[통원]한방 병의원(진단코드가 아닌 병원 면책)
단, 한방병원 양방과는 보상(분쟁손보-0849)","비급여 한방치료(단, 한의사를 제외한 의사의 양방의료비 보상)(0908소급적용)","비급여 한방치료(단, 한의사를 제외한 의사의 양방의료비 보상)(0908소급적용)","비급여 한방치료(단, 한의사를 제외한 의사의 양방의료비 보상)(0908소급적용)","비급여 한방치료(단, 한의사를 제외한 의사의 양방의료비 보상)(0908소급적용)"
본인부담상한제,"-
(약관 명시는 없으나 대법원, 분조위 사례 근거 보상불가)","-
(약관 명시는 없으나 대법원, 분조위 사례 근거 보상불가)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)"
보조기,보상가능,"의치, 의수족, 의안, 안경, 콘택트렌즈, 보청기, 보조기 등 진료재료의 구입 및  대체비용","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)"
간병비,환자 진료와 무관한 비용 면책,환자 진료와 무관한 비용 면책,간병비,간병비,간병비,간병비
다리정맥류,"-
(약관 명시 없으나 상해치료목적 확인)","위생관리, 미모를 위한 성형수술비",외모개선 목적의 다리정맥류수술,외모개선 목적의 다리정맥류수술,외모개선 목적의 다리정맥류수술,외모개선 목적의 다리정맥류수술
기타,-,-,해외소재기관에서 발생한의료비,해외소재기관에서 발생한의료비,해외소재기관에서 발생한의료비,해외소재기관에서 발생한의료비
제비용,"진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)"
검사비,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용
