피부질환/포경수술,"-
(약관 명시 없으나 질병치료목적 확인)","- 주근깨, 점, 여드름 등으로 일상생활에 지장이 없는 피부질환
- 질병을 동반하지 않는 포경수술","- 주근깨, 다모, 무모, 백모증, 딸기코(주사비), 점(모반-태아인 경우 Q82.5 은 보상) [0908소급적용], 사마귀, 여드름, 노화현상으로 인한 탈모 등 피부질환
- 발기부전, 불감증, 단순 코골음 (수면무호흡증-G47.3 보상) [0908소급적용]
- 치료를 동반하지 않는 단순포경, 업무 또는 일상생활에 지장이 없는 검열반 등 안과질환","- 주근깨, 다모, 무모, 백모증, 딸기코(주사비), 점(모반-태아인 경우 Q82.5 은 보상) [0908소급적용], 사마귀, 여드름, 노화현상으로 인한 탈모 등 피부질환
- 발기부전, 불감증, 단순 코골음 (수면무호흡증-G47.3 보상) [0908소급적용]
- 치료를 동반하지 않는 단순포경, 업무 또는 일상생활에 지장이 없는 검열반 등 안과질환","- 주근깨, 다모, 무모, 백모증, 딸기코(주사비), 점(모반-태아인 경우 Q82.5 은 보상) [0908소급적용], 사마귀, 여드름, 노화현상으로 인한 탈모 등 피부질환
- 발기부전, 불감증, 단순 코골음 (수면무호흡증-G47.3 보상) [0908소급적용]
- 치료를 동반하지 않는 단순포경, 업무 또는 일상생활에 지장이 없는 검열반 등 안과질환","(비급여/3대비급여)
- 주근깨, 다모, 무모, 백모증, 딸기코(주사비), 점(모반-태아인 경우 Q82.5 은 보상), 사마귀, 여드름, 노화현상으로 인한 탈모 등 피부질환
- 발기부전, 불감증, 단순 코골음 (수면무호흡증-G47.3 보상)
- 치료를 동반하지 않는 단순포경
- 검열반 등 안과질환
- 그 밖에 일상생활에 지장이 없는 경우로 건강보험 비급여 대상 치료"
"검진, 예방접종","신체검사, 예방접종","질병을 원인으로 하지 않는 신체검사, 예방접종 ","건강검진(단, 검사결과 이상 소견에 따른 추가 의료비용은 보상), 예방접종","건강검진(단, 검사결과 이상 소견에 따른 추가 의료비용은 보상), 예방접종","건강검진(단, 검사결과 이상 소견에 따른 추가 의료비용은 보상), 예방접종","건강검진(단, 검사결과 이상소견에 따라 발생한 추가비용), 예방접종(단, 회사가 보상하는 치료 목적인 경우 보상), 그 밖에 예방진료로 비급여에해당 치료"
"유산,불임","불임시술, 인공유산","여성생식기의 비염증성 장애로 인한 습관성 유산, 불임 및 인공수정 관련 합병증(N96-98)","- 여성생식기의 비염증성 장애로 인한 습관성 유산, 불임 및 인공수정 관련 합병증(N96-N98)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)
- 인공유산(단. 회사가 보상하는 질병에 의한 경우 보상)","- 여성생식기의 비염증성 장애로 인한 습관성 유산, 불임 및 인공수정 관련 합병증(N96-N98)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)
- 인공유산(단. 회사가 보상하는 질병에 의한 경우 보상)","- 여성생식기의 비염증성 장애로 인한 습관성 유산, 불임 및 인공수정 관련 합병증(N96-N98)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)
- 인공유산(단. 회사가 보상하는 질병에 의한 경우 보상)","- 여성생식기의 비염증성 장애로 인한 습관성 유산, 불임 및 인공수정 관련 합병증(N96-N98) (단, 보험가입일로부터 2년 경과 급여의 일부본인부담금에 한하여 보상)
- 친자 확인을 위한 진단, 불임검사, 불임수술, 불임복원술, 보조생식술(체내, 체외 인공수정 포함)
- 인공유산(단, 회사가 보상하는 질병으로 의사권고에 의한 경우 보상)"
치과/한방치료,"[입원] 치과질환
[통원]치과, 한방 병의원(질병코드가 아닌 병원 면책)
단, 치과 이외 일반과, 한방병원 양방과는 보상(분쟁손보-0849)","[입원]치아 및 치주질환 등의 치과질환(K00-K08)
[통원]치과, 한방 병의원(질병코드가 아닌 병원 면책)
단, 치과 이외 일반과, 한방병원 양방과는 보상(분쟁손보-0849)","치과치료(K00-K08) 및 한방치료의 비급여치료비
(단, 한의사를 제외한 의사의 양방치료는 보상) 
[0908소급적용]","치과치료(K00-K08) 및 한방치료의 비급여치료비
(단, 한의사를 제외한 의사의 양방치료는 보상) 
[0908소급적용]","치과치료(K00-K08) 및 한방치료의 비급여치료비
(단, 한의사를 제외한 의사의 양방치료는 보상) 
[0908소급적용]","치과치료(K00-K08) 및 한방치료의 비급여치료비
(단, 한의사를 제외한 의사의 양방치료는 보상) 
[0908소급적용]"
항문질환,"직장또는 항문관련 질환(I84, K60~62)
(I84-2016.01.01 KCD삭제, 현재 K64)","직장또는 항문관련 질환(I84, K60~62)
(I84-2016.01.01 KCD삭제, 현재 K64)","직장 또는 항문관련 질환( I84, K60~62, K64) 비급여
(I84-2016.01.01 KCD삭제, 현재 K60~K62, K64)","직장 또는 항문관련 질환( I84, K60~62, K64) 비급여
(I84-2016.01.01 KCD삭제, 현재 K60~K62, K64)","직장 또는 항문관련 질환( I84, K60~62, K64) 비급여
(I84-2016.01.01 KCD삭제, 현재 K60~K62, K64)","직장 또는 항문관련 질환( I84, K60~62, K64) 비급여
(I84-2016.01.01 KCD삭제, 현재 K60~K62, K64)"
비뇨기계질환,비뇨기계장애 (N39),비뇨기계장애 (N39),"요실금(N39.3, N39.4, R32) [0908소급적용]","요실금(N39.3, N39.4, R32) [0908소급적용]","요실금(N39.3, N39.4, R32) [0908소급적용]","요실금(N39.3, N39.4, R32) [0908소급적용]"
다리정맥류,"위생관리, 미모를 위한 성형수술비","위생관리, 미모를 위한 성형수술비",외모개선 목적의 다리정맥류수술,외모개선 목적의 다리정맥류수술,외모개선 목적의 다리정맥류수술,외모개선 목적의 다리정맥류수술
임신•출산,"임신,출산(제왕절개포함),유산 또는
외과적 수술, 그 밖의 의료처치
단. 회사가 보상하는 질병에 의한 경우 보상","임신, 출산(제왕절개포함), 산후기(O00-O99)
단. 회사가 보상하는 질병에 의한 경우 보상","임신, 출산(제왕절개포함), 산후기(O00-O99)
단. 회사가 보상하는 질병에 의한 경우 보상","임신, 출산(제왕절개포함), 산후기(O00-O99)
단. 회사가 보상하는 질병에 의한 경우 보상","임신, 출산(제왕절개포함), 산후기(O00-O99)
단. 회사가 보상하는 질병에 의한 경우 보상","임신, 출산(제왕절개포함), 산후기(O00-O99)
단. 회사가 보상하는 질병에 의한 경우 보상"
성병,성병,"주로 성행위로 전파되는 감염
(A50-A64)단, A61-A62는 보상
※ 일부약관에 한하여 면책
※ 구손보(2006.10.31까지): 질병입통원의료비Ⅰ, Ⅱ
※ 구제일(2005.01.01~2007.03.31): 일부계약",-,-,-,-
디스크/신경계질환,-,"일부계약에 적용
※ 구손보(2006.10.31까지): 질병입원의료비Ⅰ, Ⅱ
※ 구제일(2005.01.01~2007.03.31): 일부계약
- 신경계질환(G00-G99)
  (단, 중추신경계 염증성질환(G00~G09),파킨슨병(G20), 알쯔하이머병(G30), 수두증(G91) 보상)
- 디스크(M50-M51)",-,-,-,-
"천재지변, 핵,방사능","핵연료 물질, 방사능오염","핵연료 물질, 방사능오염",-,-,-,-
HIV질환,성병,-,"HIV(인간면역결핍바이러스 감염)으로 인한 치료비
(다만, 의료법에서 정한 의료인의 진료상 또는 치료중 혈액에 의한 HIV감염은 해당진료기록을 통해 객관적으로 확인되는 경우는 제외)","HIV(인간면역결핍바이러스 감염)으로 인한 치료비
(다만, 의료법에서 정한 의료인의 진료상 또는 치료중 혈액에 의한 HIV감염은 해당진료기록을 통해 객관적으로 확인되는 경우는 제외)","HIV(인간면역결핍바이러스 감염)으로 인한 치료비
(다만, 의료법에서 정한 의료인의 진료상 또는 치료중 혈액에 의한 HIV감염은 해당진료기록을 통해 객관적으로 확인되는 경우는 제외)","HIV(인간면역결핍바이러스 감염)으로 인한 치료비
(다만, 의료법에서 정한 의료인의 진료상 또는 치료중 혈액에 의한 HIV감염은 해당진료기록을 통해 객관적으로 확인되는 경우는 제외)"
보조기,"의치, 의수족, 의안, 안경, 콘택트렌즈, 보청기, 보조기 등  진료재료의 구입 및 대체비용","의치, 의수족, 의안, 안경, 콘택트렌즈, 보청기, 보조기 등  진료재료의 구입 및 대체비용","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)","의치, 의수족, 의안, 안경, 콘텍트렌즈, 보청기, 목발, 팔걸이, 보조기 등 진료재료의 구입 및 대체비용
(단, 인공장기 등 신체에 이식되어 그 기능 대신할 경우 제외)"
본인부담상한제,"-
(약관 명시는 없으나 대법원, 분조위 사례 근거 보상불가)","-
(약관 명시는 없으나 대법원, 분조위 사례 근거 보상불가)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)","사전 또는 사후 환급이 가능한 금액
(의료급여법상 본인부담금보상제 및 본인부담금 상한제)"
안정치료,"피로, 권태, 심신허약 등을 치료하기 위한 안정치료비","피로, 권태, 심신허약 등을 치료하기 위한 안정치료비",단순 피로 또는 권태,단순 피로 또는 권태,단순 피로 또는 권태,단순 피로 또는 권태
중독,"알콜중독, 습관성 약품 또는 환각제의 복용 및 사용","알콜중독, 습관성 약품 또는 환각제의 복용 및 사용",-,-,-,-
간병비,환자 진료와 무관한 비용 면책,환자 진료와 무관한 비용 면책,간병비,간병비,간병비,간병비
진단외 검사비,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용,의사의 임상적 소견과 관련 없는 검사 비용
제비용,"진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)","진료와 무관한 제비용(TV시청료, 전화료, 제증명료)"
기타,-,"손상, 중독 및 외인(상해)에 의한 특정 기타 결과 상해로 인한 치료비 및 그 합병증 치료비(S00-T98)
*일부약관만 해당",해외소재기관에서 발생한의료비,해외소재기관에서 발생한의료비,해외소재기관에서 발생한의료비,해외소재기관에서 발생한의료비
